book_id	branch_id	no_of_copies
0967697603	1	0
0967697603	2	1
0967697603	3	4
0967697603	4	3
0967697603	5	0
0375810609	1	2
0375810609	2	1
0375810609	3	1
0375810609	4	1
0375810609	5	2
0201612585	1	0
0201612585	2	3
0201612585	3	1
0201612585	4	4
0201612585	5	4
1861003730	1	4
1861003730	2	4
1861003730	3	2
1861003730	4	4
1861003730	5	2
1565927699	1	0
1565927699	2	0
1565927699	3	4
1565927699	4	4
1565927699	5	0
076454621X	1	3
076454621X	2	3
076454621X	3	3
076454621X	4	2
076454621X	5	2
0805317554	1	4
0805317554	2	1
0805317554	3	1
0805317554	4	1
0805317554	5	1
0935112510	1	1
0935112510	2	2
0935112510	3	4
0935112510	4	0
0935112510	5	3
039914563X	1	4
039914563X	2	3
039914563X	3	2
039914563X	4	3
039914563X	5	2
0137566107	1	3
0137566107	2	4
0137566107	3	1
0137566107	4	1
0137566107	5	4
0812520610	1	2
0812520610	2	3
0812520610	3	2
0812520610	4	2
0812520610	5	0
0385479565	1	4
0385479565	2	0
0385479565	3	2
0385479565	4	2
0385479565	5	4
0805057579	1	1
0805057579	2	4
0805057579	3	2
0805057579	4	0
0805057579	5	0
0935039031	1	2
0935039031	2	4
0935039031	3	4
0935039031	4	0
0935039031	5	0
0452272971	1	0
0452272971	2	1
0452272971	3	0
0452272971	4	2
0452272971	5	2
0151004714	1	4
0151004714	2	3
0151004714	3	1
0151004714	4	0
0151004714	5	1
0393314251	1	0
0393314251	2	1
0393314251	3	3
0393314251	4	2
0393314251	5	4
0811716937	1	3
0811716937	2	2
0811716937	3	2
0811716937	4	3
0811716937	5	3
0471534781	1	4
0471534781	2	0
0471534781	3	4
0471534781	4	0
0471534781	5	0
0688163165	1	0
0688163165	2	2
0688163165	3	4
0688163165	4	1
0688163165	5	1
0316154075	1	4
0316154075	2	1
0316154075	3	4
0316154075	4	4
0316154075	5	1
0471135615	1	4
0471135615	2	1
0471135615	3	3
0471135615	4	4
0471135615	5	3
0125535600	1	0
0125535600	2	4
0125535600	3	2
0125535600	4	3
0125535600	5	2
0156007088	1	3
0156007088	2	1
0156007088	3	3
0156007088	4	2
0156007088	5	1
0345370775	1	1
0345370775	2	4
0345370775	3	3
0345370775	4	4
0345370775	5	4
0375502025	1	1
0375502025	2	2
0375502025	3	2
0375502025	4	0
0375502025	5	3
0440413729	1	1
0440413729	2	0
0440413729	3	3
0440413729	4	3
0440413729	5	4
0072127481	1	2
0072127481	2	4
0072127481	3	4
0072127481	4	1
0072127481	5	0
0201379260	1	3
0201379260	2	2
0201379260	3	1
0201379260	4	1
0201379260	5	1
0738201960	1	2
0738201960	2	1
0738201960	3	3
0738201960	4	2
0738201960	5	1
0374141231	1	3
0374141231	2	1
0374141231	3	4
0374141231	4	4
0374141231	5	4
0882664778	1	2
0882664778	2	1
0882664778	3	3
0882664778	4	0
0882664778	5	2
0345350499	1	3
0345350499	2	1
0345350499	3	4
0345350499	4	3
0345350499	5	4
0345337662	1	4
0345337662	2	4
0345337662	3	0
0345337662	4	4
0345337662	5	2
0345377648	1	2
0345377648	2	3
0345377648	3	1
0345377648	4	3
0345377648	5	2
0674003306	1	3
0674003306	2	2
0674003306	3	1
0674003306	4	1
0674003306	5	1
0072127317	1	2
0072127317	2	4
0072127317	3	4
0072127317	4	2
0072127317	5	3
1584500492	1	1
1584500492	2	2
1584500492	3	1
1584500492	4	1
1584500492	5	1
0671047310	1	2
0671047310	2	4
0671047310	3	1
0671047310	4	0
0671047310	5	2
0312965095	1	4
0312965095	2	0
0312965095	3	2
0312965095	4	1
0312965095	5	3
0553577476	1	4
0553577476	2	1
0553577476	3	1
0553577476	4	4
0553577476	5	4
0531164497	1	3
0531164497	2	1
0531164497	3	0
0531164497	4	2
0531164497	5	1
0812520629	1	1
0812520629	2	0
0812520629	3	1
0812520629	4	4
0812520629	5	4
0688069711	1	1
0688069711	2	0
0688069711	3	4
0688069711	4	3
0688069711	5	4
0932813739	1	2
0932813739	2	0
0932813739	3	3
0932813739	4	2
0932813739	5	4
0961549890	1	4
0961549890	2	1
0961549890	3	2
0961549890	4	0
0961549890	5	1
0789404257	1	1
0789404257	2	0
0789404257	3	2
0789404257	4	0
0789404257	5	1
0449911942	1	2
0449911942	2	0
0449911942	3	1
0449911942	4	1
0449911942	5	2
0393316009	1	1
0393316009	2	0
0393316009	3	1
0393316009	4	4
0393316009	5	4
067976674X	1	2
067976674X	2	1
067976674X	3	0
067976674X	4	3
067976674X	5	0
0471597619	1	4
0471597619	2	0
0471597619	3	3
0471597619	4	2
0471597619	5	2
0030303370	1	3
0030303370	2	3
0030303370	3	4
0030303370	4	4
0030303370	5	3
0810961695	1	2
0810961695	2	2
0810961695	3	2
0810961695	4	0
0810961695	5	2
0130264857	1	3
0130264857	2	1
0130264857	3	2
0130264857	4	0
0130264857	5	0
0130273635	1	4
0130273635	2	3
0130273635	3	1
0130273635	4	1
0130273635	5	4
083512035x	1	1
083512035x	2	4
083512035x	3	2
083512035x	4	4
083512035x	5	0
0256228779	1	0
0256228779	2	0
0256228779	3	4
0256228779	4	0
0256228779	5	0
0838479022	1	3
0838479022	2	1
0838479022	3	2
0838479022	4	2
0838479022	5	2
0553283936	1	2
0553283936	2	1
0553283936	3	1
0553283936	4	4
0553283936	5	2
1576572862	1	2
1576572862	2	3
1576572862	3	2
1576572862	4	1
1576572862	5	2
1576573842	1	2
1576573842	2	4
1576573842	3	0
1576573842	4	1
1576573842	5	0
0967174805	1	4
0967174805	2	0
0967174805	3	2
0967174805	4	2
0967174805	5	3
0807825859	1	2
0807825859	2	4
0807825859	3	1
0807825859	4	2
0807825859	5	2
0684818701	1	4
0684818701	2	1
0684818701	3	1
0684818701	4	0
0684818701	5	1
0385326653	1	4
0385326653	2	4
0385326653	3	4
0385326653	4	4
0385326653	5	4
0201615622	1	3
0201615622	2	4
0201615622	3	3
0201615622	4	0
0201615622	5	3
067944551X	1	3
067944551X	2	0
067944551X	3	0
067944551X	4	0
067944551X	5	0
0810936852	1	0
0810936852	2	2
0810936852	3	4
0810936852	4	0
0810936852	5	3
020163371X	1	3
020163371X	2	1
020163371X	3	4
020163371X	4	2
020163371X	5	1
0439064864	1	4
0439064864	2	4
0439064864	3	1
0439064864	4	0
0439064864	5	4
0439136350	1	4
0439136350	2	2
0439136350	3	4
0439136350	4	4
0439136350	5	4
0345313860	1	2
0345313860	2	0
0345313860	3	1
0345313860	4	4
0345313860	5	2
034538475X	1	2
034538475X	2	1
034538475X	3	0
034538475X	4	2
034538475X	5	2
0030615372	1	3
0030615372	2	0
0030615372	3	3
0030615372	4	3
0030615372	5	1
0201634422	1	2
0201634422	2	1
0201634422	3	1
0201634422	4	0
0201634422	5	4
1565926099	1	4
1565926099	2	4
1565926099	3	3
1565926099	4	4
1565926099	5	3
0672319241	1	3
0672319241	2	4
0672319241	3	1
0672319241	4	3
0672319241	5	4
0534368018	1	0
0534368018	2	0
0534368018	3	3
0534368018	4	1
0534368018	5	1
0136603904	1	1
0136603904	2	3
0136603904	3	0
0136603904	4	2
0136603904	5	0
0671032658	1	3
0671032658	2	3
0671032658	3	3
0671032658	4	1
0671032658	5	4
0811826848	1	1
0811826848	2	0
0811826848	3	2
0811826848	4	2
0811826848	5	0
0316769487	1	2
0316769487	2	4
0316769487	3	2
0316769487	4	2
0316769487	5	1
0446310783	1	3
0446310783	2	3
0446310783	3	4
0446310783	4	2
0446310783	5	2
0684801523	1	4
0684801523	2	2
0684801523	3	2
0684801523	4	2
0684801523	5	3
0345419758	1	0
0345419758	2	4
0345419758	3	2
0345419758	4	4
0345419758	5	2
1557044287	1	0
1557044287	2	4
1557044287	3	1
1557044287	4	1
1557044287	5	2
0553575538	1	0
0553575538	2	4
0553575538	3	0
0553575538	4	2
0553575538	5	3
0743215052	1	3
0743215052	2	1
