book_id	author	title
0030059380	Douglas A. Skooq	Fundamentals of Analytical Chemistry
0030303370	William Rife	Essentials of Chemistry
0030615372	Colin M. Turnbull	The Mbuti Pygmies
0060287659	Geraldine McCaughrean	The Stones Are Hatching
0060393645	Marilu Henner, Lorin Henner	Healthy Life Kitchen
0060930497	Kenneth R. Miller	Finding Darwin God: Scientists Search For Common Ground
0060959290	Colin Thubron	Among the Russians
0070121430	Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest 	Introduction to Algorithms
0070349096	Henry Z. Kister	Distillation Design
0070498415	Robert H. Perry	Perrys Chemical Engineers Handbook
0070571864	Gershon J. Shugar	Chemical Technicians Ready Reference Handbook
0071354190	Peter Lane Taylor	Science at the Extreme: Scientists on the Cutting Edge of Discovery
0072127317	Blake Schwendiman	PHP 4 Developers Guide
0072127481	Joel Scambray	Hacking Exposed: Network Security Secrets And Solutions
0078823927	Herb Schildt	Teach yourself C++
0078823978	Thomas Powell	The complete reference HTML
0120594757	Neal G. Anderson	Practical Process Research and Development
0120848104	Les Beletsky	Costa Rica: The Ecotraveller Wildlife Guide
0125535600	G. M. Phillips, P.J. Taylor	Theory and Applications of Numerical Analysis
0130264857	Jan Fair, Sadie Bragg	Algebra 1
0130273635	Bruce Eckel	Thinking in Java
0130819735	Jame Laudon	Essentials of Management
0134897250	Bernd Bruegge, Alan H. Dutoit 	Object Oriented Software Engineering: Conquering Complex and Changing Systems
0136603904	Kip R. Irvine	Assembly Language for Intel-Based Computers
0137566107	Peter Abel	IBM PC Assembly Language and Programming, Fourth Edition
0138613370	Jeffrey D. Ullman	A First Course in Database Systems
0151004714	Claire Messud	The Last Life
0156007088	John Lewis	Walking with the Wind
0156007754	Jose Saramago, Giovanni Pontiero	Blindness
0198503652	Susan J. Blackmore	The Meme Machine
0201379260	Nicolai M. Josuttis	The C++ Standard Library: A Tutorial and Reference
0201612585	Rajshekhar Sunderraman	Oracle 8 Programming: A Primer
0201615622	Herb Sutter	Exceptional C++: 47 Engineering Puzzles, Programming Problems
0201615711	Lincoln D. Stein	Network Programming with Perl
0201634422	S. Keshav	An Engineering Approach to Computer Networks
0201700735	Bjarne Stroustrup	The C++ Programming Language, Special Edition
0201709287	C. J. Date, Hugh Darwen	Foundation for Future Database Systems: The Third Manifesto
0256228779	Gilbert Churchill, Paul Petter	Marketing: Creating Value for Customers
0262041642	Marco Dorigo, Marco Colombetti	Robot Shaping: An Experiment in Behavior Engineering
0262133822	Faith D. Aluisio	Robo Sapiens: Evolution of a New Species
0262181916	Santiago Ramon y Cajal	Advice for a Young Investigator
0312135033	Carolly Erickson	Great Catherine
0312965095	Kathleen Kane	This Time for Keeps
0314129499	Welch Gruhlt	American Government
0316154075	Michael Connelly	A Darkness More than Night
0316695262	George P. Pelecanos	Right as Rain
0316769487	J.D. Salinger	Catcher in the Rye
0345298063	Robert K. Massie	Peter the Great: His Life and World
0345313860	Anne Rice	The Vampire Lestat
0345337662	Anne Rice	Interview With The Vampire
0345350499	Marion Zimmer Bradley	The Mists Of Avalon
0345370775	Michael Crichton	Jurassic Park
0345377648	Anne Rice	Lasher
0345384466	Anne Rice 	The Witching Hour
0345417623	Michael Crichton	Timeline
0345419758	Mass Market	Air Force One Has Landed
0345438310	Robert K. Massie	Nicholas and Alexandra
0374141231	Ian Wilmut, Colin Tudge, Keith Campbell	The Second Creation: Dolly and the Age of Biological Control
0375400818	Robert Kimball	Reading Lyrics
0375502025	Tom Brokaw	The Greatest Generation
0375810609	Jean De Brunhoff	Bonjour Babar
0385326653	David Almond	Kits Wilderness
0385479565	Richard Preston	The Hot Zone
0387987010	Peter Douglas Ward	Rare Earth: Why Complex Life is Uncommon in the Universe
0393314251	Stephen Jay Gould	The Mismeasure of Man
0393316009	Andrea Barrett	Ship Fever
0395851580	James Marshall	George And Martha: The Complete Stories Of Two Best Friends
0399146652	Lilian Jackson Braun	The Cat Who Smelled a Rat
0399147020	Nevada Barr	Blood Lure
0399501487	William Gerald Golding	Lord of the Flies
0425133540	Tom Clancy 	The Sum of All Fears
0425143325	Tom Clancy 	Without Remorse
0425147584	Tom Clancy 	Debt Of Honor
0439064864	J. K. Rowling	Harry Potter And The Chambers Of Secrets
0439139597	J. K. Rowling	Harry Potter And The Goblet Of Fire
0439136350	J. K. Rowling	Harry Potter And The Prisoner Of Azkaban
0440413729	Ruth White	Belle Prater's Boy
0446310783	Harper Lee	To Kill a Mockingbird
0449202496	Erich Maria Remarque	All Quiet on the Western Front
0449911942	John Updike	Rabbit at Rest
0452272971	Sebastien Japrisot, Linda Coverdale	A Very Long Engagement
0465041752	Frans de Waal	The Ape and the Sushi Master
0471105597	David Halliday, Robert Resnick, Jearl Walker	Fundamentals of Physics Extended
0471135615	Robert Zubrin	Islands In the Sky: Bold New Ideas for Colonizing Space
0471169196	Kimmel Weygandt	Financial Accounting: tools for business decision making
0471534781	Richard M. Felder	Elementary Principles of Chemical Processes
0471587192	Saturnino L. Salas, Garret J. Etgen, Einar Hille	Calculus: One and Several Variables
0471597619	Gary D. Christian	Analytical Chemistry
0505523078	Ann Lawrence	Virtual Heaven
0517707950	Laura Esquivel	The Law of Love
0528838180	Ran McNally	Coast-to-Coast Games
0531164497	Ann O. Squire	Spiders of North America
0534368018	Gary J. Bronson	A First Book of C++: From Here to There
0534944469	Susanna S. Epp	Discrete Mathematics with Applications
0553102370	Michael Crichton	Eaters of the Dead
0553283936	Frederick Forsyth	The Negotiator
0553575538	Kay Hooper	Stealing Shadows
0553577476	Leslie Lafoy	Lady Reckless
0590262540	K. A. Applegate	The Threat
0590494368	K. A. Applegate	The Underground
0590494414	K. A. Applegate	The Decision
